state,longitude,latitude,method,index_right,dtname,stname
UttarPradeshMadhyaPradeshRajasthan,81.85,26.65,unconstrained,112,Faizabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.75,26.05,unconstrained,131,Fatehpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.75,25.35,unconstrained,179,Jhansi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.05,24.65,unconstrained,331,Sonbhadra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.35,28.05,unconstrained,203,Kheri,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,84.05,26.35,unconstrained,106,Deoria,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,25.95,unconstrained,131,Fatehpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.85,26.65,unconstrained,194,Kanpur Dehat,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.45,26.85,unconstrained,52,Basti,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.85,24.25,unconstrained,225,Lalitpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.45,26.35,unconstrained,193,Kanpur Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.65,26.55,unconstrained,20,Amethi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.55,27.75,unconstrained,128,Etah,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.15,25.85,unconstrained,152,Hamirpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.05,26.65,unconstrained,228,Lucknow,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.65,26.25,unconstrained,19,Ambedkar Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.75,25.95,unconstrained,241,Mau,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.95,26.45,unconstrained,194,Kanpur Dehat,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.55,25.15,unconstrained,225,Lalitpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.25,27.65,unconstrained,329,Sitapur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.05,28.75,unconstrained,277,Pilibhit,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.15,27.85,unconstrained,321,Shrawasti,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.65,27.65,unconstrained,41,Balrampur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.65,27.55,unconstrained,32,Bahraich,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.25,26.35,unconstrained,171,Jalaun,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.65,25.15,unconstrained,405,Prayagraj,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.55,25.55,unconstrained,200,Kaushambi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.25,27.85,unconstrained,15,Aligarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.05,28.75,unconstrained,277,Pilibhit,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.65,25.75,unconstrained,176,Jaunpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.25,25.15,unconstrained,349,Tikamgarh,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.15,27.45,unconstrained,322,Siddharthnagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,26.15,unconstrained,359,Unnao,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.75,25.55,unconstrained,179,Jhansi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.55,25.85,unconstrained,176,Jaunpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,25.35,unconstrained,43,Banda,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.85,26.55,unconstrained,112,Faizabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.55,22.45,unconstrained,111,Dhar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.65,22.65,unconstrained,165,Indore,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.85,22.65,unconstrained,165,Indore,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.85,22.75,unconstrained,165,Indore,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.05,22.95,unconstrained,107,Dewas,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.75,23.15,unconstrained,356,Ujjain,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.55,23.15,unconstrained,63,Bhopal,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.95,23.15,unconstrained,166,Jabalpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.35,23.25,unconstrained,63,Bhopal,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.45,23.25,unconstrained,63,Bhopal,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.95,23.25,unconstrained,166,Jabalpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.05,23.35,unconstrained,295,Ratlam,MADHYA PRADESH
